"routeid","vehicleid","vehiclename","lowfloor"
712988,38682,"<U+0412><U+0421> 3164 <U+0410><U+0410>",0
712988,38687,"<U+0412><U+0421> 3162 <U+0410><U+0410>",0
712988,38689,"<U+0412><U+0421> 3170 <U+0410><U+0410>",0
712988,38695,"<U+0412><U+0421> 0801 <U+0410><U+0410>",0
712988,38702,"<U+0412><U+0421> 1121 <U+0410><U+0410>",0
712988,38704,"<U+0412><U+0421> 1182 <U+0410><U+0410>",0
712988,38789,"<U+0412><U+0421> 7284 <U+0421><U+041E>",0
712988,47956,"<U+0412><U+0421> 2696 <U+0415><U+0412>",0
712988,47976,"<U+0412><U+0421> 3976 <U+0415><U+0406>",0
712988,53981,"<U+0412><U+0421> 3675 <U+0410><U+0410>",0
712988,55690,"<U+0412><U+0421> 2615 <U+0415><U+0412>",0
712991,64360,"<U+0412><U+0421> 2498 <U+0415><U+0422>",1
712991,64361,"<U+0412><U+0421> 2497 <U+0415><U+0422>",1
712991,64364,"<U+0412><U+0421> 2480 <U+0415><U+0422>",1
712991,64368,"<U+0412><U+0421> 2976 <U+0415><U+0422>",1
712991,64369,"<U+0412><U+0421> 2492 <U+0415><U+0422>",1
712991,64395,"<U+0412><U+0421> 2979 <U+0415><U+0422>",1
712991,64486,"<U+0412><U+0421> 6644 <U+0415><U+0422>",1
712991,64487,"<U+0412><U+0421> 6767 <U+0415><U+0422>",1
713002,37158,"<U+0412><U+0421> 0343 <U+0410><U+0410>",0
713002,37161,"<U+0412><U+0421> 9561 <U+0415><U+0412>",0
713002,37162,"<U+0412><U+0421> 4006 <U+0415><U+0421>",0
713002,38023,"<U+0412><U+0421> 5144 <U+0412><U+0425>",0
713002,38147,"<U+0412><U+0421> 1122 <U+0415><U+0421>",0
713010,37190,"<U+0412><U+0421> 0339 <U+0410><U+0410>",0
713010,37225,"<U+0412><U+0421> 2801 <U+0410><U+0410>",0
949921,38720,"<U+0412><U+0421> 2824 <U+0410><U+0410>",0
949921,38727,"<U+0412><U+0421> 2629 <U+0410><U+0410>",0
949921,38730,"<U+0412><U+0421> 2393 <U+0410><U+0410>",0
1723724,38752,"<U+0412><U+0421> 4329 <U+0421><U+041E>",1
1723724,38934,"<U+0412><U+0421> 1128 <U+0421><U+0420>",0
1723724,38936,"<U+0412><U+0421> 1134 <U+0421><U+0420>",1
1723724,38968,"<U+0412><U+0421> 1129 <U+0421><U+0420>",0
1723724,38970,"<U+0412><U+0421> 7242 <U+0421><U+041E>",0
1723724,39098,"<U+0412><U+0421> 0855 <U+0412><U+0420>",0
1723724,39116,"<U+0412><U+0421> 9144 <U+0412><U+0422>",0
1723724,39117,"<U+0412><U+0421> 1328 <U+0421><U+0425>",1
1723724,39118,"<U+0412><U+0421> 2539 <U+0415><U+041D>",0
1527114,37611,"<U+0412><U+0421> 1048 <U+0410><U+0410>",0
1527114,37617,"<U+0412><U+0421> 1039 <U+0410><U+0410>",0
1527114,37657,"<U+0412><U+0421> 1398 <U+0410><U+0410>",0
1527114,37677,"<U+0412><U+0421> 1763 <U+0410><U+0410>",0
1527114,37678,"<U+0412><U+0421> 1101 <U+0410><U+0410>",0
1527114,37695,"<U+0412><U+0421> 2989 <U+0410><U+0410>",1
949921,38726,"<U+0412><U+0421> 2508 <U+0410><U+0410>",0
949921,38729,"<U+0412><U+0421> 1972 <U+0410><U+0410>",0
1723724,38930,"<U+0412><U+0421> 8991 <U+0421><U+041D>",1
1723724,39105,"<U+0412><U+0421> 3235 <U+0410><U+0410>",0
1723724,39108,"<U+0412><U+0421> 3495 <U+0410><U+0410>",0
1723724,39109,"<U+0412><U+0421> 3137 <U+0410><U+0410>",0
1723724,39110,"<U+0412><U+0421> 0882 <U+0410><U+0410>",0
1723724,39111,"<U+0412><U+0421> 1380 <U+0410><U+0410>",0
1723724,39113,"<U+0412><U+0421> 3226 <U+0410><U+0410>",0
1723724,39114,"<U+0412><U+0421> 2595 <U+0421><U+041A>",0
1054553,39179,"<U+0412><U+0421> 8215 <U+0415><U+041D>",0
712991,64507,"<U+0412><U+0421> 9666 <U+0415><U+0422>",1
712991,64505,"<U+0412><U+0421> 7742 <U+0415><U+0422>",1
713002,37167,"<U+0412><U+0421> 2807 <U+0410><U+0410>",0
712991,64506,"<U+0412><U+0421> 3439 <U+0415><U+0425>",1
712991,64494,"<U+0412><U+0421> 6556 <U+0415><U+0422>",1
713002,37159,"<U+0412><U+0421> 0829 <U+0410><U+0410>",0
712991,64502,"<U+0412><U+0421> 2662 <U+0415><U+0420>",1
713002,37166,"<U+0412><U+0421> 2802 <U+0410><U+0410>",0
712991,64355,"<U+0412><U+0421> 2487 <U+0415><U+0422>",1
712991,64358,"<U+0412><U+0421> 2494 <U+0415><U+0422>",1
713002,37160,"<U+0412><U+0421> 1127 <U+0410><U+0410>",0
1054553,39187,"<U+0412><U+0421> 8216 <U+0415><U+041D>",0
712991,64494,"<U+0412><U+0421> 6556 <U+0415><U+0422>",0
712991,64502,"<U+0412><U+0421> 2662 <U+0415><U+0420>",0
712991,64364,"<U+0412><U+0421> 2480 <U+0415><U+0422>",0
1723724,37984,"<U+0412><U+0421> 2891 <U+0412><U+041E>",0
1054553,39174,"<U+0412><U+0421> 8208 <U+0415><U+041D>",0
712991,64505,"<U+0412><U+0421> 7742 <U+0415><U+0422>",0
712991,64355,"<U+0412><U+0421> 2487 <U+0415><U+0422>",0
712991,64497,"<U+0412><U+0421> 3663 <U+0415><U+0422>",0
712991,64497,"<U+0412><U+0421> 3663 <U+0415><U+0422>",1
1054553,39186,"<U+0412><U+0421> 8214 <U+0415><U+041D>",0
712991,64317,"<U+0412><U+0421> 2129 <U+0415><U+0422>",1
713010,36922,"<U+0412><U+0421> 2932 <U+0410><U+041C>",0
713010,52188,"<U+0410><U+0422> 3587 <U+0412><U+0406>",0
1723724,38752,"<U+0412><U+0421> 4329 <U+0421><U+041E>",0
1723724,39119,"<U+0412><U+0421> 4645 <U+0421><U+0420>",1
1723724,39051,"<U+0412><U+0421> 8812 <U+0421><U+041D>",1
1723724,38973,"<U+0412><U+0421> 1132 <U+0421><U+0420>",1
1723724,39032,"<U+0412><U+0421> 3230 <U+0410><U+0410>",1
1054553,39175,"<U+0412><U+0421> 8205 <U+0415><U+041D>",0
1723724,39115,"<U+0412><U+0421> 0214 <U+0421><U+0425>",1
1723724,39100,"<U+0412><U+0421> 3343 <U+0410><U+0410>",1
1723724,39101,"<U+0412><U+0421> 3486 <U+0410><U+0410>",1
713002,64338,"<U+0412><U+0456><U+0440><U+0442><U+0443><U+0430><U+043B><U+044C><U+043D><U+0438><U+0439> <U+041C><U+0456><U+0440><U+0430>",0
1054553,39188,"<U+0412><U+0421> 8209 <U+0415><U+041D>",0
712991,64368,"<U+0412><U+0421> 2976 <U+0415><U+0422>",0
712991,64507,"<U+0412><U+0421> 9666 <U+0415><U+0422>",0
712991,64490,"<U+0412><U+0421> 6116 <U+0415><U+0422>",1
713010,43608,"<U+0412><U+0421> 1804 <U+0410><U+0410>",0
712991,64360,"<U+0412><U+0421> 2498 <U+0415><U+0422>",0
1527114,37745,"<U+0412><U+0421> 8836 <U+0421><U+041E>",1
